CPIDR 3.2.3738.41169
Mode	Ideas	Words	Density
Norm	 8218	17613	  0.467	"flickr_chunk.000"
Norm	 8367	17985	  0.465	"flickr_chunk.001"
Norm	 8454	18076	  0.468	"flickr_chunk.002"
Norm	 8403	18051	  0.466	"flickr_chunk.003"
Norm	 8479	18059	  0.470	"flickr_chunk.004"
Norm	 8386	17843	  0.470	"flickr_chunk.005"
Norm	 8512	18071	  0.471	"flickr_chunk.006"
Norm	 8152	17645	  0.462	"flickr_chunk.007"
Norm	 8467	17990	  0.471	"flickr_chunk.008"
Norm	 8578	18266	  0.470	"flickr_chunk.009"
Norm	 8401	17984	  0.467	"flickr_chunk.010"
Norm	 8474	18067	  0.469	"flickr_chunk.011"
Norm	 8391	17904	  0.469	"flickr_chunk.012"
Norm	 8431	18150	  0.465	"flickr_chunk.013"
Norm	 8535	18215	  0.469	"flickr_chunk.014"
Norm	 8477	18225	  0.465	"flickr_chunk.015"
Norm	 8345	17945	  0.465	"flickr_chunk.016"
Norm	 8340	17846	  0.467	"flickr_chunk.017"
Norm	 8398	17896	  0.469	"flickr_chunk.018"
Norm	 8418	17906	  0.470	"flickr_chunk.019"
Norm	 8607	18210	  0.473	"flickr_chunk.020"
Norm	 8338	17859	  0.467	"flickr_chunk.021"
Norm	 8242	17576	  0.469	"flickr_chunk.022"
Norm	 8312	17757	  0.468	"flickr_chunk.023"
Norm	 8473	18021	  0.470	"flickr_chunk.024"
Norm	 8462	18076	  0.468	"flickr_chunk.025"
Norm	 8336	17927	  0.465	"flickr_chunk.026"
Norm	 8465	18065	  0.469	"flickr_chunk.027"
Norm	 8468	18019	  0.470	"flickr_chunk.028"
Norm	 6224	13914	  0.447	"flickr_chunk.029"
Norm	 6299	13866	  0.454	"flickr_chunk.030"
Norm	 6273	14000	  0.448	"flickr_chunk.031"
Norm	 6217	13892	  0.448	"flickr_chunk.032"
Norm	 6324	13999	  0.452	"flickr_chunk.033"
Norm	 6187	13796	  0.448	"flickr_chunk.034"
Norm	 6300	13970	  0.451	"flickr_chunk.035"
Norm	 6087	13781	  0.442	"flickr_chunk.036"
Norm	 6304	14003	  0.450	"flickr_chunk.037"
Norm	 6332	14091	  0.449	"flickr_chunk.038"
Norm	 6289	14009	  0.449	"flickr_chunk.039"
Norm	 6304	13994	  0.450	"flickr_chunk.040"
Norm	 6223	13867	  0.449	"flickr_chunk.041"
Norm	 6327	14197	  0.446	"flickr_chunk.042"
Norm	 6217	13922	  0.447	"flickr_chunk.043"
Norm	 6235	14005	  0.445	"flickr_chunk.044"
Norm	 6198	13848	  0.448	"flickr_chunk.045"
Norm	 6127	13889	  0.441	"flickr_chunk.046"
Norm	 6251	13828	  0.452	"flickr_chunk.047"
Norm	 6420	14148	  0.454	"flickr_chunk.048"
Norm	 6257	14022	  0.446	"flickr_chunk.049"
Norm	 6195	13809	  0.449	"flickr_chunk.050"
Norm	 6183	13838	  0.447	"flickr_chunk.051"
Norm	 6175	13750	  0.449	"flickr_chunk.052"
Norm	 6290	13864	  0.454	"flickr_chunk.053"
Norm	 6239	13832	  0.451	"flickr_chunk.054"
Norm	 6262	13963	  0.448	"flickr_chunk.055"
Norm	 6189	13891	  0.446	"flickr_chunk.056"
Norm	 6275	14037	  0.447	"flickr_chunk.057"
Norm	 4986	11611	  0.429	"flickr_chunk.058"
Norm	 4984	11518	  0.433	"flickr_chunk.059"
Norm	 5132	11758	  0.436	"flickr_chunk.060"
Norm	 4999	11637	  0.430	"flickr_chunk.061"
Norm	 5107	11715	  0.436	"flickr_chunk.062"
Norm	 4937	11465	  0.431	"flickr_chunk.063"
Norm	 5030	11712	  0.429	"flickr_chunk.064"
Norm	 4896	11517	  0.425	"flickr_chunk.065"
Norm	 5057	11613	  0.435	"flickr_chunk.066"
Norm	 5081	11849	  0.429	"flickr_chunk.067"
Norm	 5100	11806	  0.432	"flickr_chunk.068"
Norm	 5013	11679	  0.429	"flickr_chunk.069"
Norm	 4989	11623	  0.429	"flickr_chunk.070"
Norm	 5091	11772	  0.432	"flickr_chunk.071"
Norm	 5011	11679	  0.429	"flickr_chunk.072"
Norm	 5018	11597	  0.433	"flickr_chunk.073"
Norm	 5010	11666	  0.429	"flickr_chunk.074"
Norm	 5057	11660	  0.434	"flickr_chunk.075"
Norm	 5108	11770	  0.434	"flickr_chunk.076"
Norm	 5079	11770	  0.432	"flickr_chunk.077"
Norm	 5089	11657	  0.437	"flickr_chunk.078"
Norm	 5059	11633	  0.435	"flickr_chunk.079"
Norm	 4991	11619	  0.430	"flickr_chunk.080"
