CPIDR 3.2.3738.41169
Mode	Ideas	Words	Density
Norm	 4057	12856	  0.316	"places_chunk.048"
Norm	 3105	10030	  0.310	"places_chunk.049"
Norm	 3049	 9867	  0.309	"places_chunk.050"
Norm	 3055	 9933	  0.308	"places_chunk.051"
Norm	 3432	11047	  0.311	"places_chunk.052"
Norm	 4974	16494	  0.302	"places_chunk.053"
Norm	 3743	13524	  0.277	"places_chunk.054"
Norm	 3635	13209	  0.275	"places_chunk.055"
Norm	 3534	13224	  0.267	"places_chunk.056"
Norm	 3616	13278	  0.272	"places_chunk.057"
Norm	 3641	13281	  0.274	"places_chunk.058"
Norm	 5737	17943	  0.320	"places_chunk.059"
Norm	 5753	17883	  0.322	"places_chunk.060"
Norm	 5761	17973	  0.321	"places_chunk.061"
Norm	 5757	17979	  0.320	"places_chunk.062"
Norm	 5716	17826	  0.321	"places_chunk.063"
Norm	 5641	17826	  0.316	"places_chunk.064"
Norm	 5734	17848	  0.321	"places_chunk.065"
Norm	 5800	18014	  0.322	"places_chunk.066"
Norm	 5629	17780	  0.317	"places_chunk.067"
Norm	 5775	18101	  0.319	"places_chunk.068"
Norm	 5657	17979	  0.315	"places_chunk.069"
Norm	 6157	18986	  0.324	"places_chunk.070"
Norm	 7357	21491	  0.342	"places_chunk.071"
Norm	 7679	23061	  0.333	"places_chunk.072"
Norm	 8356	25997	  0.321	"places_chunk.073"
Norm	 9236	27865	  0.331	"places_chunk.074"
Norm	 5316	16830	  0.316	"places_chunk.075"
Norm	 7903	24667	  0.320	"places_chunk.076"
Norm	 7784	24227	  0.321	"places_chunk.077"
Norm	 9771	29227	  0.334	"places_chunk.078"
Norm	 8582	24826	  0.346	"places_chunk.079"
Norm	 8834	25939	  0.341	"places_chunk.080"
Norm	 8283	25502	  0.325	"places_chunk.081"
Norm	 4350	13413	  0.324	"places_chunk.082"
Norm	 6933	22236	  0.312	"places_chunk.083"
Norm	 6317	20226	  0.312	"places_chunk.084"
Norm	 6301	19783	  0.319	"places_chunk.085"
Norm	 6631	20453	  0.324	"places_chunk.086"
Norm	 4315	13816	  0.312	"places_chunk.087"
Norm	 5024	16375	  0.307	"places_chunk.088"
Norm	 4537	15113	  0.300	"places_chunk.089"
Norm	 4514	15250	  0.296	"places_chunk.090"
Norm	 4128	14756	  0.280	"places_chunk.091"
Norm	 4213	14877	  0.283	"places_chunk.092"
Norm	 4344	13475	  0.322	"places_chunk.093"
Norm	 4242	13205	  0.321	"places_chunk.094"
Norm	 4330	13387	  0.323	"places_chunk.095"
Norm	 6437	20299	  0.317	"places_chunk.096"
Norm	 7738	26034	  0.297	"places_chunk.097"
Norm	10061	29394	  0.342	"places_chunk.098"
Norm	 7700	23143	  0.333	"places_chunk.099"
