CPIDR 3.2.3738.41169
Mode	Ideas	Words	Density
Norm	 7494	23274	  0.322	"places_chunk.000"
Norm	 7011	22554	  0.311	"places_chunk.001"
Norm	 5529	17073	  0.324	"places_chunk.002"
Norm	 7268	22950	  0.317	"places_chunk.003"
Norm	 3437	11863	  0.290	"places_chunk.004"
Norm	 4543	14625	  0.311	"places_chunk.005"
Norm	 4800	14943	  0.321	"places_chunk.006"
Norm	 4532	14426	  0.314	"places_chunk.007"
Norm	 5056	15752	  0.321	"places_chunk.008"
Norm	 6340	18425	  0.344	"places_chunk.009"
Norm	 6087	17499	  0.348	"places_chunk.010"
Norm	 6270	17811	  0.352	"places_chunk.011"
Norm	 6025	17379	  0.347	"places_chunk.012"
Norm	 6238	17704	  0.352	"places_chunk.013"
Norm	 6140	17540	  0.350	"places_chunk.014"
Norm	 6213	17746	  0.350	"places_chunk.015"
Norm	 6215	17853	  0.348	"places_chunk.016"
Norm	 6238	17601	  0.354	"places_chunk.017"
Norm	 6069	17354	  0.350	"places_chunk.018"
Norm	 6024	17299	  0.348	"places_chunk.019"
Norm	 6234	17453	  0.357	"places_chunk.020"
Norm	 6257	17936	  0.349	"places_chunk.021"
Norm	 6175	17709	  0.349	"places_chunk.022"
Norm	 6125	17733	  0.345	"places_chunk.023"
Norm	 6162	17637	  0.349	"places_chunk.024"
Norm	 6100	17334	  0.352	"places_chunk.025"
Norm	 6332	18108	  0.350	"places_chunk.026"
Norm	 5992	16956	  0.353	"places_chunk.027"
Norm	 5922	17285	  0.343	"places_chunk.028"
Norm	 8675	26093	  0.332	"places_chunk.029"
Norm	 7237	22528	  0.321	"places_chunk.030"
Norm	 6337	20154	  0.314	"places_chunk.031"
Norm	 6416	20289	  0.316	"places_chunk.032"
Norm	 6637	20690	  0.321	"places_chunk.033"
Norm	 6600	20393	  0.324	"places_chunk.034"
Norm	 6487	20522	  0.316	"places_chunk.035"
Norm	 6448	20494	  0.315	"places_chunk.036"
Norm	 6491	20463	  0.317	"places_chunk.037"
Norm	 7485	22865	  0.327	"places_chunk.038"
Norm	 5543	17435	  0.318	"places_chunk.039"
Norm	 4994	15290	  0.327	"places_chunk.040"
Norm	 4983	15382	  0.324	"places_chunk.041"
Norm	 4853	15167	  0.320	"places_chunk.042"
Norm	 5033	15431	  0.326	"places_chunk.043"
Norm	 4897	15310	  0.320	"places_chunk.044"
Norm	 4919	15167	  0.324	"places_chunk.045"
Norm	 5006	15351	  0.326	"places_chunk.046"
Norm	 4870	15134	  0.322	"places_chunk.047"
